#Parent_Name,Parent_Reference,Child_Name,Child_Reference,Child_Color,Child_Description
Company Group,,Saskatchewan,03002,,
Company Group,,Quebec,03004,,
Company Group,,Alberta,03007,,
Company Group,,Ontario,03008,,
Company Group,,British Columbia,03009,,
Company Group,,Manitoba,04005,,
Company Group,,New Brunswick,04007,,
Company Group,,Nova Scotia,04009,,
#Parent_Name,Parent_Reference,Child_Name,Child_Reference,Child_Color,Child_Description
Quebec,03004,Montreal - 343,03004003,,
Quebec,03004,Quebec City - 344,03004004,,
Quebec,03004,Laval - 346,03004006,,
Ontario,03008,Toronto - 381,03008001,,
Ontario,03008,Ottawa - 383,03008003,,
Ontario,03008,Windsor - 385,03008005,,
Ontario,03008,Brantford - 381,03008011,,
Ontario,03008,Burlington - 3814,03008014,,
British Columbia,03009,Vancouver - 391,03009001,,
Nova Scotia,04009,Halifax - 495,04009005,,
Nova Scotia,04009,Cape Breton - 497,04009007,,
#Parent_Name,Parent_Reference,Child_Name,Child_Reference,Child_Color,Child_Description
Quebec City - 344,03004004,344-0928,030040040928,,
Laval - 346,03004006,346-0207,030040060207,,
Ottawa - 383,03008003,383-0100,030080030100,,
Ottawa - 383,03008003,383-0540,030080030540,,
Ottawa - 383,03008003,383-0541,030080030541,,
Ottawa - 383,03008003,383-0881,030080030881,,
Cape Breton - 497,04009007,497-0814,040090070814,,
